Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2008-01-13,HDA,487,TPE,HKG,2,,1,,false,,2008-01-13T10:55,,,,,,2008-01-13T12:45,,Airbus A330,,,,ECONOMY,LEISURE,,840e5a2c-5278-413f-9114-33f6f7e7b2b2,043d6b9b-8b28-4f1f-81f9-fbb6524b9cc5,1a0ff314-4db9-43eb-aef0-59d40b78505b,7da61aa8-3d56-411b-8be5-50a198e86c60,,f4a5b854-d517-4008-954b-07efefb9efc3
2008-01-13,HDA,890,HKG,PVG,1,,1,,false,,2008-01-13T15:00,2008-01-13T15:00,,,,,2008-01-13T17:15,2008-01-13T17:03,Airbus A330,,,MIDDLE,ECONOMY,LEISURE,,ead49f4a-b418-498f-b995-48ca0a306660,043d6b9b-8b28-4f1f-81f9-fbb6524b9cc5,7da61aa8-3d56-411b-8be5-50a198e86c60,94ecd389-4c82-477f-8502-261c27f5b6fa,,f4a5b854-d517-4008-954b-07efefb9efc3
2008-01-19,HDA,893,PVG,HKG,1,,1,,false,,2008-01-19T15:20,2008-01-19T15:22,,,,,2008-01-19T18:10,2008-01-19T18:08,Airbus A321,,,,ECONOMY,LEISURE,,db5a8034-ae8c-49e3-bdfe-1fe7af6eabab,043d6b9b-8b28-4f1f-81f9-fbb6524b9cc5,94ecd389-4c82-477f-8502-261c27f5b6fa,7da61aa8-3d56-411b-8be5-50a198e86c60,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2008-01-19,HDA,482,HKG,TPE,1,,2,,false,,2008-01-19T18:10,,,,,,2008-01-19T19:50,,Airbus A330,,,,ECONOMY,LEISURE,,9a0e721b-9b2c-4617-af5a-e9a6328ead69,043d6b9b-8b28-4f1f-81f9-fbb6524b9cc5,7da61aa8-3d56-411b-8be5-50a198e86c60,1a0ff314-4db9-43eb-aef0-59d40b78505b,,f4a5b854-d517-4008-954b-07efefb9efc3
2010-07-27,HDA,489,TPE,HKG,2,,B,,false,,2010-07-27T08:00,2010-07-27T08:00,,,,,2010-07-27T09:45,2010-07-27T09:36,Airbus A330,,46D,AISLE,ECONOMY,LEISURE,,a7dc4a60-f9a7-4ac1-b300-da1eb5cbf7fd,043d6b9b-8b28-4f1f-81f9-fbb6524b9cc5,1a0ff314-4db9-43eb-aef0-59d40b78505b,7da61aa8-3d56-411b-8be5-50a198e86c60,,f4a5b854-d517-4008-954b-07efefb9efc3
2010-07-31,HDA,482,HKG,TPE,T1,22,2,,false,,2010-07-31T18:10,2010-07-31T18:21,,,,,2010-07-31T19:55,2010-07-31T20:03,Airbus A330,,37D,AISLE,ECONOMY,LEISURE,,297d9071-cd09-41e4-ae23-672f4a4c6330,043d6b9b-8b28-4f1f-81f9-fbb6524b9cc5,7da61aa8-3d56-411b-8be5-50a198e86c60,1a0ff314-4db9-43eb-aef0-59d40b78505b,,f4a5b854-d517-4008-954b-07efefb9efc3
2016-07-30,CSN,3022,TPE,KWE,2,C10,,,false,,2016-07-30T12:25,2016-07-30T12:16,,,,,2016-07-30T15:00,2016-07-30T14:54,Boeing 737-800,,39J,MIDDLE,ECONOMY,LEISURE,,cfca6df1-6001-418b-9493-c21dc57644ce,255d4d33-d2aa-4a84-bc7d-0613c507151f,1a0ff314-4db9-43eb-aef0-59d40b78505b,281fb537-c593-4d5a-b45b-45ce27bbbc4f,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2016-08-06,CSN,3021,KWE,TPE,,,1,A7,false,,2016-08-06T08:50,2016-08-06T08:38,,,,,2016-08-06T11:20,2016-08-06T11:02,Boeing 737-800,,39J,MIDDLE,ECONOMY,LEISURE,,d094aa8e-47ee-4191-bada-21064d7a7d00,255d4d33-d2aa-4a84-bc7d-0613c507151f,281fb537-c593-4d5a-b45b-45ce27bbbc4f,1a0ff314-4db9-43eb-aef0-59d40b78505b,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2017-03-10,TTW,305,TPE,MFM,1,B1,,,false,,2017-03-10T16:35,2017-03-10T16:49,,,,,2017-03-10T18:35,,Airbus A320,,23D,AISLE,ECONOMY,LEISURE,,b78be827-8e03-4ecd-a1ef-70c4b86c9186,b1569824-3183-4857-9eb7-644259fa9431,1a0ff314-4db9-43eb-aef0-59d40b78505b,102b8bd6-3406-42be-bce2-3abe5b3e2654,,dd390a1f-e92a-4411-ab72-04db16d42030
2017-03-12,TTW,304,MFM,TPE,,,1,B2,false,,2017-03-12T23:05,,,,,,2017-03-13T00:45,,Airbus A320,,26C,AISLE,ECONOMY,LEISURE,,b9da193a-0918-45e7-8fe4-60668911277e,b1569824-3183-4857-9eb7-644259fa9431,102b8bd6-3406-42be-bce2-3abe5b3e2654,1a0ff314-4db9-43eb-aef0-59d40b78505b,,dd390a1f-e92a-4411-ab72-04db16d42030
